fonte,titulo,tipo_arquivo,url_download,status_code,ativo,tamanho_kb,content_type,erro,verificado_em
ABDI,Execução Orçamentária - Saldo de Exercícios Anteriores - 2025 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Saldo_de_Exercicios_Anteriores_2025.CSV,200.0,True,0.45,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Saldo de Exercícios Anteriores - Retificado - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Saldo_de_Exercicios_Anteriores_Retificado_2024.CSV,200.0,True,0.41,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Saldo de Exercícios Anteriores - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Saldo_de_Exercicios_Anteriores_2024.CSV,200.0,True,1.41,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Saldo de Exercícios Anteriores - 2023 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Saldo_de_Exercicios_Anteriores_2023.CSV,200.0,True,1.31,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Saldo de Exercícios Anteriores - 2022 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Saldo_de_Exercicios_Anteriores_2022.CSV,200.0,True,1.42,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Despesa - PAA - 2025 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Despesa_PAA_2025.csv,200.0,True,0.82,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Despesa - PDP - 2025 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Despesa_PDP_2025.csv,404.0,False,0.0,,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Síntese de Despesa - 2025 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Sintese_de_Despesa_2025.csv,200.0,True,0.43,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Despesa - PAA - Retificado - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Despesa_PAA_Retificado_2024.CSV,200.0,True,0.95,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Despesa - PDP - Retificado - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Despesa_PDP_Retificado_2024.CSV,200.0,True,1.4,application/octet-stream,,2026-07-21 09:47:27
ABDI,Execução Orçamentária - Síntese de Despesa - 2024 ,csv,https://transparencia.abdi.com.br/Documents/Dados_Abertos/Execucao_Orcamentaria_Sintese_de_Despesa_Retificado_2024.CSV,200.0,True,0.34,application/octet-stream,,2026-07-21 09:47:27
ABDI,Licitações - Últimos 5 anos ,csv,https://transparencia.abdi.com.br/Documents/Dicionarios/Licitacoes_Ultimos_5_anos%20Mar%C3%A7o.csv,200.0,True,383.21,application/octet-stream,,2026-07-21 09:47:27
